city_ascii,lat,lng,country,admin_name,population,id
Ramgundam,18.7639,79.475,India,Andhra Pradesh,242979,1356590864
Pandharpur,17.6778,75.3278,India,Maharashtra,242515,1356852072
Masaurhi Buzurg,25.35,85.02,India,Bihar,241216,1356191575
Katihar,25.53,87.58,India,Bihar,240565,1356099841
Byatarayanpur,13.0659,77.5922,India,Karnataka,239902,1356590852
Tuticorin,8.7642,78.1348,India,Tamil Nadu,237830,1356751023
Ganganagar,29.92,73.88,India,Rajasthan,237780,1356431302
Rewa,24.53,81.3,India,Madhya Pradesh,236519,1356642255
Uluberiya,22.47,88.11,India,West Bengal,235345,1356354610
Bulandshahr,28.4069,77.8497,India,Uttar Pradesh,235310,1356067648
Cannanore,11.8689,75.3555,India,Kerala,232486,1356147157
Raichur,16.2,77.37,India,Karnataka,232456,1356217280
Pali,25.77,73.33,India,Rajasthan,229956,1356212172
Songadh,21.167,73.564,India,Gujarat,229782,1356550633
Haridwar,29.945,78.163,India,Uttarakhand,228832,1356090741
Vizianagaram,18.1159,83.406,India,Andhra Pradesh,228720,1356212761
Pathardi,19.17,75.18,India,Maharashtra,228279,1356126088
Khatima,28.92,79.97,India,Uttarakhand,227226,1356442679
Petlad,22.47,72.8,India,Gujarat,227031,1356943594
Nadiad,22.69,72.86,India,Gujarat,225132,1356992385
Tanjore,10.787,79.1378,India,Tamil Nadu,222943,1356599194
Tiptur,13.26,76.48,India,Karnataka,222749,1356059008
Kichha,28.92,79.5,India,Uttarakhand,221965,1356016973
Katri,23.48,80.4,India,Madhya Pradesh,221875,1356636912
Sambhal,28.58,78.55,India,Uttar Pradesh,220813,1356376216
Anand,22.556,72.951,India,Gujarat,218486,1356044073
Naihati,22.89,88.42,India,West Bengal,217900,1356715598
Yamunanagar,30.133,77.288,India,Haryana,216628,1356846120
Pallavaram,12.9675,80.1491,India,Tamil Nadu,215417,1356057661
Secunderabad,17.4399,78.4983,India,Andhra Pradesh,213698,1356779437
Monghyr,25.381,86.465,India,Bihar,213101,1356280102
Gokak,16.1667,74.8333,India,Karnataka,213000,1356269894
Bhadravati,13.8485,75.705,India,Karnataka,212073,1356466241
Nandyal,15.48,78.48,India,Andhra Pradesh,211424,1356671879
Panchkula,30.74,76.8,India,Haryana,211355,1356152025
Burhanpur,21.3,76.23,India,Madhya Pradesh,210891,1356857493
Kiratot,32.8376,76.2296,India,Himachal Pradesh,210406,1356118618
Kapra,17.4859,78.5651,India,Andhra Pradesh,209882,1356304297
Kharagpur,22.3302,87.3237,India,West Bengal,207604,1356305803
Robertsonpet,12.9563,78.2754,India,Karnataka,207350,1356245899
Dindigul,10.35,77.95,India,Tamil Nadu,207327,1356106153
Shimla,31.1033,77.1722,India,Himachal Pradesh,206575,1356962932
Hospet,15.2689,76.3909,India,Karnataka,206167,1356241463
Ingraj Bazar,25.0044,88.1458,India,West Bengal,205521,1356142829
Ongole,15.506,80.049,India,Andhra Pradesh,204746,1356385136
Betigeri,15.443,75.6442,India,Karnataka,204576,1356503334
Ellore,16.7117,81.1031,India,Andhra Pradesh,203780,1356931882
Deoghar,24.48,86.7,India,Jharkhand,203116,1356054191
Chhindwara,22.057,78.9396,India,Madhya Pradesh,202688,1356167692
Lingampalli,17.4865,78.317,India,Andhra Pradesh,202440,1356038214
Mokameh,25.3898,85.9191,India,Bihar,202411,1356053965
Puri,19.8106,85.8314,India,Odisha,201026,1356558409
Haldia,22.0667,88.0698,India,West Bengal,200827,1356491171
Khandwa,21.82,76.35,India,Madhya Pradesh,200738,1356696980
Pulimaddi,15.48,78.48,India,Andhra Pradesh,200516,1356431352
Morena,26.5,78,India,Madhya Pradesh,200483,1356019851
Drabar,33.43,75.09,India,Jammu and Kashmir,199429,1356426484
Amroha,28.9044,78.4675,India,Uttar Pradesh,198471,1356146062
Chakradharpur,22.7,85.63,India,Jharkhand,197953,1356082013
Bhiwani,28.78,76.13,India,Haryana,197662,1356780092
Bhind,26.5587,78.7871,India,Madhya Pradesh,197585,1356023125
Khammam,17.2473,80.1514,India,Andhra Pradesh,196283,1356007170
Madhyamgram,22.7,88.45,India,West Bengal,196127,1356501701
Ghandinagar,23.223,72.65,India,Gujarat,195891,1356140914
Baharampur,24.1,88.25,India,West Bengal,195223,1356612685
Morbi,22.82,70.83,India,Gujarat,194947,1356746232
Pandhurna,21.6,78.52,India,Madhya Pradesh,193818,1356533618
Fatehpur,25.93,80.8,India,Uttar Pradesh,193193,1356059135
Rae Bareli,26.2236,81.2403,India,Uttar Pradesh,191316,1356437243
Orai,25.98,79.47,India,Uttar Pradesh,190575,1356928689
Mahbubnagar,16.7488,78.0035,India,Andhra Pradesh,190400,1356014528
Rajendranagar,17.3198,78.4031,India,Andhra Pradesh,189076,1356684638
Bhusaval,21.05,75.77,India,Maharashtra,187421,1356338789
Bahraigh,27.575,81.594,India,Uttar Pradesh,186223,1356833304
Umreth,22.6986,73.1156,India,Gujarat,185320,1356307988
Mahesana,23.6,72.4,India,Gujarat,184991,1356719082
Alasandigutta,15.63,77.28,India,Andhra Pradesh,184625,1356256634
Raiganj,25.62,88.12,India,West Bengal,183612,1356159126
Batala,31.8186,75.2028,India,Punjab,183314,1356786750
Kottayam,9.5947,76.4856,India,Kerala,182927,1356307269
Sirsa,29.5333,75.0167,India,Haryana,182534,1356966764
Dinapore,25.6225,85.0417,India,Bihar,182241,1356729186
Tambaram,12.831,80.0459,India,Tamil Nadu,182071,1356045454
Karaikkudi,10.0735,78.7732,India,Tamil Nadu,181851,1356512763
Shrirampur,22.75,88.34,India,West Bengal,181842,1356021505
Himatnagar,23.6,72.95,India,Gujarat,181137,1356123042
Guna,24.65,77.32,India,Madhya Pradesh,180935,1356056608
Jaunpur,25.73,82.68,India,Uttar Pradesh,180362,1356646586
Mahad,18.083,73.417,India,Maharashtra,180191,1356857934
Madanapalle,13.55,78.5,India,Andhra Pradesh,180180,1356232508
Shivpuri,25.43,77.65,India,Madhya Pradesh,179977,1356583527
Hugli,22.9089,88.3967,India,West Bengal,179931,1356109548
Unnao,26.55,80.49,India,Uttar Pradesh,177658,1356012340
Alleppey,9.49,76.33,India,Kerala,177079,1356293762
Waraseoni,21.7647,80.0494,India,Madhya Pradesh,176291,1356634180
Mauli,30.699,76.693,India,Punjab,176152,1356181198
Kotdwara,29.75,78.53,India,Uttarakhand,175232,1356826143
Cuddalore,11.75,79.75,India,Tamil Nadu,173676,1356544008
Deo,24.6561,84.4356,India,Bihar,173216,1356131438
Silchar,24.82,92.8,India,Assam,172830,1356102467
Chirala,15.8246,80.3521,India,Andhra Pradesh,172826,1356100300
Gadag,15.4167,75.6167,India,Karnataka,172813,1356659359
Tiruvannamalai,12.13,79.07,India,Tamil Nadu,172348,1356561184
Bidar,17.912,77.52,India,Karnataka,172298,1356933453
Valsad,20.61,72.926,India,Gujarat,170060,1356306193
Machilipatnam,16.17,81.13,India,Andhra Pradesh,170000,1356067784
Medinipur,22.424,87.319,India,West Bengal,169264,1356432910
Damoh,23.8331,79.4419,India,Madhya Pradesh,168916,1356070737
Neyveli,11.6088,79.4994,India,Tamil Nadu,168368,1356265572
Baramula,34.2,74.34,India,Jammu and Kashmir,167986,1356671176
Jind,29.3167,76.3167,India,Haryana,167592,1356620188
Chandannagar,22.8671,88.3674,India,West Bengal,166867,1356174802
Adoni,15.6244,77.2731,India,Andhra Pradesh,166344,1356357749
Udipi,13.3389,74.7451,India,Karnataka,165401,1356145399
Fyzabad,26.773,82.146,India,Uttar Pradesh,165228,1356032860
Tenali,16.239,80.645,India,Andhra Pradesh,164937,1356831482
Conjeeveram,12.8308,79.7078,India,Tamil Nadu,164384,1356148941
Proddatur,14.73,78.55,India,Andhra Pradesh,163970,1356025913
Sultanpur Mazra,28.6981,77.0689,India,Delhi,163716,1356062549
Wapi,20.372,72.917,India,,163630,1356248785
Chitaldrug,14.2333,76.4,India,Karnataka,161966,1356668514
Godhra,22.7772,73.6203,India,Gujarat,161925,1356386046
Multai,21.77,78.25,India,Madhya Pradesh,161819,1356137691
Rajapalaiyam,9.4204,77.58,India,Tamil Nadu,161445,1356110350
Chittoor,13.216,79.098,India,Andhra Pradesh,160722,1356026391
Moga,30.822,75.174,India,Punjab,159897,1356017151
Budaun,28.05,79.12,India,Uttar Pradesh,159221,1356639213
Uttarpara,22.67,88.35,India,West Bengal,159147,1356370311
Bharuch,21.6948,72.9805,India,Gujarat,158253,1356981799
Saharsa,25.88,86.6,India,Bihar,156540,1356492911
Vidisha,23.5239,77.8061,India,Madhya Pradesh,155959,1356299932
Pathankot,32.2668,75.6,India,Punjab,155909,1356878237
Thanesar,29.9667,76.8167,India,Haryana,154962,1356380934
Rudarpur,28.9708,79.3972,India,Uttarakhand,154485,1356437436
Nalgonda,17.05,79.27,India,Andhra Pradesh,154326,1356414359
Dibrugarh,27.48,95,India,Assam,154019,1356100193
Veraval,20.9,70.37,India,Gujarat,153696,1356346826
Balurghat,25.22,88.76,India,West Bengal,153279,1356496150
Jorhat,26.75,94.22,India,Assam,153249,1356638741
Krishnanagar,23.4,88.5,India,West Bengal,153062,1356128689
Barakpur,22.7642,88.3776,India,West Bengal,152783,1356768708
Shantipur,23.25,88.43,India,West Bengal,151777,1356584320
Hindupur,13.83,77.49,India,Andhra Pradesh,151677,1356805611
Beawar,26.1011,74.3203,India,Rajasthan,151472,1356028963
Bhalswa Jahangirpur,28.7354,77.1638,India,Delhi,151427,1356078316
Erode,11.3409,77.7171,India,Tamil Nadu,151184,1356040695
Nangloi Jat,28.6833,77.0667,India,Delhi,150371,1356389587
Kolar,13.1333,78.1333,India,Karnataka,150357,1356953848
Soro,21.29,86.69,India,Odisha,150000,1356411349
Sitarganj,28.93,79.7,India,Uttarakhand,148266,1356157911
Hajipur,25.6925,85.2084,India,Bihar,147688,1356014808
Habra,22.83,88.63,India,West Bengal,147221,1356091822
Nowgong,26.3492,92.6861,India,Assam,147137,1356273589
Bir,18.9833,75.7667,India,Maharashtra,146709,1356753116
Narnaul,28.0444,76.1056,India,Haryana,145897,1356512084
Etah,27.63,78.67,India,Uttar Pradesh,145601,1356096916
Abohar,30.1334,74.2001,India,Punjab,145302,1356846795
Kaithal,29.8015,76.3998,India,Haryana,144915,1356810758
Chhatarpur,24.9177,79.5887,India,Madhya Pradesh,143982,1356776353
Koiridih,24.18,86.3,India,Jharkhand,143529,1356249967
Shillong,25.5744,91.8789,India,Meghalaya,143229,1356533936
Rewari,28.18,76.62,India,Haryana,143021,1356557800
Bhimavaram,16.543,81.523,India,Andhra Pradesh,142184,1356195520
Mandsaur,24.03,75.08,India,Madhya Pradesh,141667,1356467529
